"","Replicate_1","Replicate_2","Replicate_3","Replicate_4","Replicate_5","Replicate_6","Replicate_7","Replicate_8","Replicate_9","Replicate_10","Replicate_11","Replicate_12","Replicate_13","Replicate_14","Replicate_15","Replicate_16","Replicate_17","Replicate_18","Replicate_19","Replicate_20","Replicate_21","Replicate_22","Replicate_23","Replicate_24","Replicate_25","Replicate_26","Replicate_27","Replicate_28","Replicate_29","Replicate_30","Replicate_31","Replicate_32","Replicate_33","Replicate_34","Replicate_35","Replicate_36","Replicate_37","Replicate_38","Replicate_39","Replicate_40","Replicate_41","Replicate_42","Replicate_43","Replicate_44","Replicate_45","Replicate_46","Replicate_47","Replicate_48","Replicate_49","Replicate_50","Replicate_51","Replicate_52","Replicate_53","Replicate_54","Replicate_55","Replicate_56","Replicate_57","Replicate_58","Replicate_59","Replicate_60","Replicate_61","Replicate_62","Replicate_63","Replicate_64","Replicate_65","Replicate_66","Replicate_67","Replicate_68","Replicate_69","Replicate_70","Replicate_71","Replicate_72","Replicate_73","Replicate_74","Replicate_75","Replicate_76","Replicate_77","Replicate_78","Replicate_79","Replicate_80","Replicate_81","Replicate_82","Replicate_83","Replicate_84","Replicate_85","Replicate_86","Replicate_87","Replicate_88","Replicate_89","Replicate_90","Replicate_91","Replicate_92","Replicate_93","Replicate_94","Replicate_95","Replicate_96","Replicate_97","Replicate_98","Replicate_99","Replicate_100"
"Signature 1",0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743,0.0619012138220743
"Signature 2",0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638,0.0020662685223638
"Signature 3",0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733,0.477037216263733
"Signature 4",2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17,2.2052447414356e-17
"Signature 5",3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16,3.0385121137387e-16
"Signature 6",8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17,8.60935848828666e-17
"Signature 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Signature 8",2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17,2.05918750375279e-17
"Signature 9",0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483,0.0358900223067483
"Signature 10",0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527,0.0491597146715527
